PRODID,PRODNAME,PRICE,MATERIAL,COLOR,BRAND,OFFER,CATEGORY,TYPE,PACKCONT,CAREINST,NETQTY,DARTS,MANUFACTURED,MARKETEDBY,ORIGIN
Mtshirt0009white,EDGE8 t-shirts,679,Polyester,White,EDGE-8,12,Men,T-shirt,1 t-shirt,Normal wash,1,No,EDGE-8 textiles,"EDGE8 , Pune",India
Amwallets0001BrowN,Men Solid Bi-Fold Wallet,599,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0002BrowN,Men Solid Bi-Fold Wallet,699,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0003GreeN,Men Striped Bi-Fold Wallet,499,Leather,Green,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0004BlacK,Men Solid Bi-Fold Wallet,699,Leather,Black,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0005BrowN,Men Striped Bi-Fold Wallet,499,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0006BlacK,Men Colourblocked Bi-Fold Wallet,449,Leather,Black,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0007BrowN,Men Solid Bi-Fold Wallet,499,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0008BrowN,Men Solid Bi-Fold Wallet,449,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0009BlacK,Men Textured Bi-Fold Wallet,499,Leather,Black,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0010BrowN,Men Embroidered Bi-Fold Wallet,699,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0011BrowN,Men Striped Bi-Fold Wallet,499,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0012BrowN,Men Solid Bi-Fold Wallet,449,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0013BrowN,Men Genuine Leather Textured Wallet,499,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
Amwallets0014BrowN,Men Solid Bi-Fold Wallet,449,Leather,Brown,Louis Phillipe,17,Accessories,Wallets,1 Wallet,"Wipe with clean, dry cloth",1,Nil,"Louis Phillipe, AFIFA INTERNATIONAL B/64/H/7 BROAD STREET , KOL - 700019","ADL INTERNATIONAL 61/H G.J. KHAN ROAD, KOL - 700039",India
